task,task_display,seed,outer_fold,condition,condition_display,w_FP,w_SC,sum_check
fluid_intelligence,Fluid Intelligence,7,3,R2,Network penalty only,0.25,0.75,1.0
fluid_intelligence,Fluid Intelligence,7,4,R2,Network penalty only,0.35,0.65,1.0
fluid_intelligence,Fluid Intelligence,8,0,R2,Network penalty only,0.25,0.75,1.0
fluid_intelligence,Fluid Intelligence,8,1,R2,Network penalty only,0.4,0.6,1.0
fluid_intelligence,Fluid Intelligence,8,2,R2,Network penalty only,0.35,0.65,1.0
fluid_intelligence,Fluid Intelligence,8,3,R2,Network penalty only,0.55,0.45,1.0
fluid_intelligence,Fluid Intelligence,8,4,R2,Network penalty only,0.0,1.0,1.0
fluid_intelligence,Fluid Intelligence,9,0,R2,Network penalty only,0.45,0.55,1.0
fluid_intelligence,Fluid Intelligence,9,1,R2,Network penalty only,0.4,0.6,1.0
fluid_intelligence,Fluid Intelligence,9,2,R2,Network penalty only,0.35,0.65,1.0
fluid_intelligence,Fluid Intelligence,9,3,R2,Network penalty only,0.2,0.8,1.0
fluid_intelligence,Fluid Intelligence,9,4,R2,Network penalty only,0.4,0.6,1.0
fluid_intelligence,Fluid Intelligence,0,0,R3,Full PALF,0.25,0.75,1.0
fluid_intelligence,Fluid Intelligence,0,1,R3,Full PALF,0.5,0.5,1.0
fluid_intelligence,Fluid Intelligence,0,2,R3,Full PALF,0.2,0.8,1.0
fluid_intelligence,Fluid Intelligence,0,3,R3,Full PALF,0.4,0.6,1.0
fluid_intelligence,Fluid Intelligence,0,4,R3,Full PALF,0.15,0.85,1.0
fluid_intelligence,Fluid Intelligence,1,0,R3,Full PALF,0.25,0.75,1.0
fluid_intelligence,Fluid Intelligence,1,1,R3,Full PALF,0.1,0.9,1.0
fluid_intelligence,Fluid Intelligence,1,2,R3,Full PALF,0.25,0.75,1.0
fluid_intelligence,Fluid Intelligence,1,3,R3,Full PALF,0.55,0.45,1.0
fluid_intelligence,Fluid Intelligence,1,4,R3,Full PALF,0.3,0.7,1.0
fluid_intelligence,Fluid Intelligence,2,0,R3,Full PALF,0.05,0.95,1.0
fluid_intelligence,Fluid Intelligence,2,1,R3,Full PALF,0.2,0.8,1.0
fluid_intelligence,Fluid Intelligence,2,2,R3,Full PALF,0.35,0.65,1.0
fluid_intelligence,Fluid Intelligence,2,3,R3,Full PALF,0.2,0.8,1.0
fluid_intelligence,Fluid Intelligence,2,4,R3,Full PALF,0.25,0.75,1.0
fluid_intelligence,Fluid Intelligence,3,0,R3,Full PALF,0.2,0.8,1.0
fluid_intelligence,Fluid Intelligence,3,1,R3,Full PALF,0.05,0.95,1.0
fluid_intelligence,Fluid Intelligence,3,2,R3,Full PALF,0.1,0.9,1.0
fluid_intelligence,Fluid Intelligence,3,3,R3,Full PALF,0.35,0.65,1.0
fluid_intelligence,Fluid Intelligence,3,4,R3,Full PALF,0.25,0.75,1.0
fluid_intelligence,Fluid Intelligence,4,0,R3,Full PALF,0.0,1.0,1.0
fluid_intelligence,Fluid Intelligence,4,1,R3,Full PALF,0.35,0.65,1.0
fluid_intelligence,Fluid Intelligence,4,2,R3,Full PALF,0.4,0.6,1.0
fluid_intelligence,Fluid Intelligence,4,3,R3,Full PALF,0.15,0.85,1.0
fluid_intelligence,Fluid Intelligence,4,4,R3,Full PALF,0.55,0.45,1.0
fluid_intelligence,Fluid Intelligence,5,0,R3,Full PALF,0.2,0.8,1.0
fluid_intelligence,Fluid Intelligence,5,1,R3,Full PALF,0.25,0.75,1.0
fluid_intelligence,Fluid Intelligence,5,2,R3,Full PALF,0.5,0.5,1.0
fluid_intelligence,Fluid Intelligence,5,3,R3,Full PALF,0.2,0.8,1.0
fluid_intelligence,Fluid Intelligence,5,4,R3,Full PALF,0.4,0.6,1.0
fluid_intelligence,Fluid Intelligence,6,0,R3,Full PALF,0.25,0.75,1.0
fluid_intelligence,Fluid Intelligence,6,1,R3,Full PALF,0.4,0.6,1.0
fluid_intelligence,Fluid Intelligence,6,2,R3,Full PALF,0.6,0.4,1.0
fluid_intelligence,Fluid Intelligence,6,3,R3,Full PALF,0.2,0.8,1.0
fluid_intelligence,Fluid Intelligence,6,4,R3,Full PALF,0.25,0.75,1.0
fluid_intelligence,Fluid Intelligence,7,0,R3,Full PALF,0.25,0.75,1.0
fluid_intelligence,Fluid Intelligence,7,1,R3,Full PALF,0.1,0.9,1.0
fluid_intelligence,Fluid Intelligence,7,2,R3,Full PALF,0.3,0.7,1.0
fluid_intelligence,Fluid Intelligence,7,3,R3,Full PALF,0.3,0.7,1.0
fluid_intelligence,Fluid Intelligence,7,4,R3,Full PALF,0.35,0.65,1.0
fluid_intelligence,Fluid Intelligence,8,0,R3,Full PALF,0.25,0.75,1.0
fluid_intelligence,Fluid Intelligence,8,1,R3,Full PALF,0.4,0.6,1.0
fluid_intelligence,Fluid Intelligence,8,2,R3,Full PALF,0.45,0.55,1.0
fluid_intelligence,Fluid Intelligence,8,3,R3,Full PALF,0.55,0.45,1.0
fluid_intelligence,Fluid Intelligence,8,4,R3,Full PALF,0.0,1.0,1.0
fluid_intelligence,Fluid Intelligence,9,0,R3,Full PALF,0.35,0.65,1.0
fluid_intelligence,Fluid Intelligence,9,1,R3,Full PALF,0.4,0.6,1.0
fluid_intelligence,Fluid Intelligence,9,2,R3,Full PALF,0.35,0.65,1.0
fluid_intelligence,Fluid Intelligence,9,3,R3,Full PALF,0.25,0.75,1.0
fluid_intelligence,Fluid Intelligence,9,4,R3,Full PALF,0.3,0.7,1.0
